lat,long,Construction year,minimum nights,number of reviews,reviews per month,review rate number,calculated host listings count,availability 365,service fee,host_identity_verified_unconfirmed,host_identity_verified_verified,neighbourhood group_Bronx,neighbourhood group_Brooklyn,neighbourhood group_Manhattan,neighbourhood group_Queens,neighbourhood group_Staten Island,instant_bookable_False,instant_bookable_True,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,room type_Entire home/apt,room type_Private room,room type_Shared room,price
40.79826,-73.96113,2019,2,113,0.91,3,1,68,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,149
40.7353,-74.00525,2018,90,27,0.22,3,1,100,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,578
40.70186,-73.92745,2005,2,231,1.96,3,2,214,219,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1097
40.7229,-73.98199,2005,2,245,2.08,3,2,354,113,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,563
40.66278,-73.97966,2020,3,15,0.39,2,1,33,74,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,370
40.79009,-73.97927,2017,4,81,0.69,3,1,86,171,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,856
40.68554,-73.9409,2015,0,11,0.1,1,1,85,73,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,363
40.69142,-73.97376,2009,0,135,1.16,1,2,0,42,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,212
40.68043,-73.93934,2015,0,112,1.01,2,3,0,146,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,728
40.78635,-73.97008,2013,0,73,0.63,3,1,0,180,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,901
40.7042,-73.9356,2007,0,82,0.7,2,1,0,67,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,335
40.73506,-73.95392,2014,0,328,2.82,5,1,0,51,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,254
40.73961,-73.98074,2017,0,19,0.22,5,1,0,181,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,903
40.70881,-73.9593,2012,30,105,0.9,5,1,0,88,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,439
40.72004,-73.99104,2009,5,19,0.17,4,1,0,205,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1024
40.72401,-73.93788,2020,4,138,1.19,1,3,0,109,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,543
40.7221,-73.99775,2019,30,21,0.3,5,1,0,51,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,256
40.74623,-73.9953,2004,180,5,0.12,2,1,0,156,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,779
40.77065,-73.95269,2020,2,66,0.57,5,2,0,131,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,653
40.69,-73.96788,2010,7,27,0.23,2,2,0,165,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,825
40.75979,-73.99119,2013,30,191,1.65,1,1,0,129,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,646
40.67343,-73.98338,2006,3,4,0.16,3,1,0,207,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1037
40.72649,-73.97904,2015,1,338,4.72,3,2,0,17,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,87
40.70933,-73.96792,2007,1,148,1.4,1,1,0,63,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,316
40.72298,-73.98474,2017,1,106,1.26,3,2,0,147,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,735
40.72162,-73.98008,2019,9,49,0.43,3,1,0,48,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,238
40.76342,-73.98865,2017,7,23,0.43,3,1,0,121,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,603
40.74138,-74.00197,2011,3,167,1.65,4,1,0,213,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1065
40.71154,-73.96112,2017,3,61,0.54,3,4,0,211,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1057
40.82915,-73.95136,2005,31,54,0.49,3,1,0,211,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1056
40.71851,-73.98892,2017,5,70,0.62,4,1,0,182,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,909
40.65401,-73.96323,2017,6,16,0.15,4,1,0,117,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,586
40.7114,-73.98794,2013,30,94,0.84,3,1,0,115,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,575
40.69723,-73.99268,2013,1,25,0.24,3,1,0,58,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,292
40.71833,-73.95748,2007,3,61,0.53,4,1,0,39,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,194
40.72334,-73.9844,2022,3,194,1.73,2,1,0,25,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,123
40.71459,-73.94844,2017,30,29,0.4,1,1,83,118,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,589
40.8092,-73.94421,2005,2,170,1.61,1,1,258,168,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,839
40.68157,-73.98989,2011,30,19,0.2,2,1,400,106,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,528
40.75527,-73.99291,2014,2,334,3.0,1,2,34,13,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,66
40.68698,-73.96572,2014,2,19,0.2,4,6,203,152,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,761
40.7288,-73.98192,2007,7,12,0.13,5,1,35,105,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,523
40.72245,-73.98527,2013,4,25,0.23,1,1,425,221,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1105
40.65593,-73.96053,2015,2,9,0.08,4,1,113,222,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1109
40.71923,-73.96468,2004,1,9,0.08,4,1,260,132,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,659
40778.0,-73.94822,2007,5,21,0.19,4,1,395,114,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,571
40.85879,-73.93128,2010,15,36,0.33,5,1,266,147,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,736
40.68332,-73.9547,2013,3,63,0.58,1,1,58,189,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,946
40.81618,-73.94894,2005,3,155,1.42,3,3,410,90,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,449
40.68414,-73.96351,2018,3,260,2.35,4,1,388,186,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,930
40.72392,-73.99143,2006,5,73,0.66,4,1,13,66,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,329
40.73494,-73.9503,2006,3,193,1.86,2,1,62,225,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1125
40.71341,-73.98856,2013,3,32,0.29,5,1,62,220,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1099
40.76754,-73.98399,2013,2,50,0.45,2,3,366,51,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,256
40.73442,-74.00303,2013,29,26,0.25,5,1,338,53,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,263
40.63188,-73.93248,2020,2,2,0.02,4,1,334,19,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,96
40.6873,-73.9634,2021,0,426,3.89,3,3,92,238,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1192
40.6863,-73.96765,2012,0,84,0.77,2,3,378,98,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,490
40.6857,-73.99183,2017,0,4,0.04,3,1,351,222,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1109
40.74028,-73.83168,2018,0,1,0.01,4,1,389,121,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,606
40.68281,-73.93524,2007,0,124,1.72,2,2,16,171,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,853
40.71596,-73.93938,2011,0,11,0.11,3,1,325,34,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,172
40.71165,-73.96087,2003,3,200,1.86,5,4,166,227,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1133
40.69101,-73.97312,2014,8,27,1.05,4,5,18,32,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,162
40.73474,-74.00101,2009,4,79,0.74,3,1,130,189,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,944
40.67386,-73.96641,2009,15,9,0.09,2,1,43,101,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,505
40.71536,-73.96057,2009,3,155,1.61,2,1,18,23,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,113
40.6741,-73.96595,2020,15,4,0.05,3,1,0,162,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,810
40.79295,-73.93997,2022,2,34,0.32,5,1,373,74,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,370
40.70666,-74.01374,2022,268,114,1.06,4,1,320,77,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,387
40.73756,-74.00405,2017,189,86,0.8,1,1,293,133,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,665
40.81526,-73.94791,2013,30,80,0.75,2,3,58,35,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,175
40.73423,-74.0046,2012,340,38,0.36,1,1,163,82,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,408
40.82374,-73.9373,2019,128,18,1.79,3,1,240,120,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,601
40.68863,-73.97691,2011,350,206,1.92,4,2,96,21,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,107
40.70382,-73.89797,2011,166,10,0.11,4,5,300,145,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,724
40.80549,-73.95924,2019,110,122,1.18,4,2,425,90,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,450
40.71627,-73.9587,2004,57,33,0.58,4,1,421,231,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1153
40.67994,-73.97863,2015,142,52,0.5,4,1,83,65,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,327
40.76244,-73.99271,2013,5,10,1.01,3,1,0,80,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,402
40.68656,-73.97525,2005,3,37,0.35,1,1,341,89,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,444
40.72752,-73.98432,2010,1,204,2.04,5,1,353,218,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1089
40729.0,-73.95829,2017,2,69,0.65,2,1,213,104,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,518
40.81219,-73.94499,2010,1,192,1.84,5,5,137,44,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,220
40.77185,-73.90502,2016,2,17,0.16,3,1,336,227,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1133
40.68926,-73.99386,2021,2,222,2.12,2,1,23,63,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,316
40.72821,-73.98701,2015,3,205,1.96,4,1,19,79,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,396
40.7672,-73.98508,2020,3,94,0.96,5,1,395,163,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,813
40.73012,-73.99053,2017,3,7,0.07,3,1,410,22,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,111
40.7403,-73.98498,2020,2,108,1.09,2,1,78,182,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,908
40.80931,-73.94343,2008,3,222,2.1,5,2,188,165,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,823
40.8251,-73.94287,2011,1,458,4.58,4,2,338,37,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,186
40.6585,-73.98397,2021,2,21,0.26,1,1,66,17,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,84
40.76193,-73.9501,2018,7,17,0.3,4,1,322,48,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,241
40.72052,-73.98589,2017,3,41,0.39,3,1,322,11,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,54
40.70411,-73.89934,2020,14,1,0.01,5,5,80,131,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,656
40.73401,-73.95967,2018,2,69,0.67,5,1,146,102,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,509
40.71756,-73.99503,2016,4,18,0.18,5,2,382,240,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1198
40.7589,-73.96991,2003,30,82,0.78,1,1,329,118,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,588
40.72003,-74.00262,2014,4,94,0.99,1,1,9,46,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,228
40.73194,-73.99474,2011,5,10,0.1,4,1,256,175,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,874
40.8118,-73.94434,2011,1,189,1.82,3,5,83,225,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1127
40.74358,-74.00027,2006,2,35,0.34,1,1,0,119,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,595
40.80335,-73.9575,2010,14,10,2.21,3,2,319,215,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1076
40.71445,-73.9908,2008,4,171,1.8,5,2,50,191,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,956
40.75749,-73.96897,2015,200,92,0.9,1,1,118,16,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,81
40.70763,-73.95177,2019,2,181,1.77,1,2,145,233,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1164
40.63481,-74.08519,2010,2,333,3.19,5,6,0,206,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1032
40.75384,-73.91433,2005,5,441,4.5,5,1,0,109,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,545
40.64106,-73.97426,2013,1,45,0.46,4,2,0,157,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,786
40.66793,-73.98327,2018,14,9,0.09,5,2,0,23,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,114
40.68236,-73.94314,2007,399,248,2.39,4,2,0,168,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,841
40.72185,-73.98246,2019,5,143,1.38,1,2,0,15,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,73
40.68503,-73.95385,2019,3,36,0.41,5,4,0,229,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1143
40.6761,-73.9529,2011,6,50,3.55,3,1,0,219,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1095
40.67586,-73.95155,2007,2,227,2.27,2,2,0,101,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,503
40.71702,-73.99811,2008,14,1,0.16,2,1,0,179,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,895
40.72321,-73.98157,2010,2,203,1.96,3,2,0,85,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,426
40.77956,-73.98098,2022,2,210,2.1,2,1,267,225,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1127
40.68276,-73.95264,2015,5,64,0.67,5,1,300,74,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,368
40.72956,-73.98158,2012,7,5,0.15,4,1,33,170,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,850
40.71069,-73.95175,2006,10,49,0.48,1,1,407,201,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1003
40.70863,-73.94641,2022,0,132,1.27,5,1,422,175,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,875
40.82888,-73.94307,2006,0,20,0.26,3,1,378,191,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,953
40.67319,-73.97323,2007,0,11,0.11,5,1,46,144,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,720
40.67846,-73.99443,2004,0,51,0.57,4,1,101,77,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,387
40.6715,-73.94808,2014,0,15,0.15,5,5,210,132,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,662
40.72681,-73.98534,2007,0,67,1.31,2,1,104,75,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,375
40.78971,-73.9729,2010,11,30,0.32,4,1,76,109,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,544
40.67817,-73.99495,2015,2,106,1.34,5,3,16,105,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,523
40.73119,-73.95578,2011,452,6,0.1,4,1,351,123,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,614
40.71943,-73.99627,2013,2,191,1.88,2,1,397,36,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,178
40.78,-73.98249,2008,30,48,0.55,3,1,276,12,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,61
40.70514,-73.91922,2019,5,47,0.49,3,1,68,180,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,901
40.86713,-73.92811,2012,2,120,1.27,4,1,398,238,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1189
40.73198,-73.98881,2008,3,52,0.63,4,1,135,157,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,783
40.72542,-73.97986,2009,2,48,0.48,4,4,86,14,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,69
40.83494,-73.93869,2003,3,32,0.43,1,2,412,204,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1018
40.72898,-73.95552,2003,1,50,0.5,4,1,47,157,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,784
40.87207,-73.90193,2009,30,4,0.35,5,2,315,11,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,55
40.77728,-73.97818,2008,13,38,0.39,3,1,105,198,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,989
40.72646,-73.95341,2004,3,29,0.36,1,1,87,206,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1029
40.71015,-73.96101,2015,4,59,0.6,3,1,52,58,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,291
40.71903,-73.9597,2005,1,68,0.67,3,2,189,157,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,787
40.80892,-73.93985,2016,14,26,0.27,5,3,132,54,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,269
40.80276,-73.9567,2007,14,31,0.31,5,1,81,145,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,725
40.77635,-73.93426,2022,2,198,2.01,1,1,42,122,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,612
40.72488,-73.95018,2018,2,1,0.01,3,1,73,184,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,920
40.71876,-73.98394,2017,3,286,2.81,1,1,177,165,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,824
40.66552,-73.99019,2011,2,398,3.97,5,3,245,208,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1038
40.73749,-73.95292,2004,3,36,0.36,1,28,272,215,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1074
40.76248,-73.9913,2014,3,36,0.36,1,1,386,14,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,72
40.68674,-73.98876,2013,4,6,0.1,5,1,247,32,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,162
40.6848,-73.96219,2006,6,14,0.3,4,1,394,140,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,701
40.70516,-73.95455,2021,14,76,0.76,5,6,179,113,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,566
40.72329,-73.98486,2019,0,182,1.81,4,1,0,148,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,741
40.73776,-73.95327,2006,0,8,0.09,2,28,0,68,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,338
40.72399,-73.98374,2021,0,240,2.4,3,1,0,137,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,685
40.6824,-73.94615,2020,0,46,1.07,1,1,0,70,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,348
40.68048,-73.94911,2013,3,218,2.26,3,4,0,35,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,174
40.68314,-73.93963,2016,2,75,0.76,4,2,0,146,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,729
40.75961,-73.91117,2003,1,42,1.21,5,2,0,58,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,292
40.71055,-73.95098,2014,0,13,0.13,1,1,95,11,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,56
40.69465,-73.95458,2020,0,4,0.07,2,1,154,209,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1047
40.73877,-73.97707,2007,0,1,0.01,1,3,214,189,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,943
40.74893,-73.99544,2003,0,19,0.19,5,1,204,230,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1152
40.79406,-73.94102,2008,0,131,1.31,1,2,351,120,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,599
40.68795,-73.97332,2009,0,15,0.15,3,1,371,134,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,672
40.85295,-73.93361,2021,2,136,1.37,4,1,312,10,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,50
40.66918,-73.99187,2006,7,98,0.99,3,1,141,115,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,575
40.71125,-73.95613,2011,3,31,0.31,2,1,419,20,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,99
40.78558,-73.9696,2012,21,45,0.46,5,1,256,10,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,52
40.71577,-73.96053,2019,3,124,1.76,5,1,380,193,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,964
40.73861,-73.95485,2004,3,9,0.09,4,28,270,14,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,68
40.72577,-73.98745,2017,5,166,1.68,5,2,45,110,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,549
40.58615,-73.81245,2011,27,13,0.13,3,1,336,88,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,438
40.67086,-73.94872,2006,30,15,0.16,5,5,176,98,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,490
40.82773,-73.95231,2013,3,380,3.83,4,2,379,227,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1137
40.68505,-73.95684,2016,2,86,0.87,2,1,35,234,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1170
40.72911,-73.95493,2011,3,248,2.53,2,3,210,151,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,753
40.77944,-73.98567,2014,5,49,0.56,2,1,203,74,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,369
40.74503,-73.98876,2022,18,54,0.57,4,1,264,102,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,508
40.67539,-73.96093,2003,7,3,0.03,4,1,402,89,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,443
40.8054,-73.95189,2005,1,1,0.02,1,1,53,189,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,947
40.78491,-73.9508,2021,2,56,0.57,3,1,252,171,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,857
40.69088,-73.97307,2018,2,163,1.66,3,2,398,172,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,861
40.67555,-73.95057,2010,2,247,2.51,1,2,82,107,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,536
40.75835,-73.99193,2017,10,116,1.17,5,1,5,138,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,690
40.66527,-73.9886,2003,14,27,0.28,2,2,362,194,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,971
40.71895,-73.99434,2008,1,52,0.6,5,3,338,139,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,696
40.75579,-73.96699,2014,6,39,0.4,4,1,238,238,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1188
40.69263,-73.99438,2014,30,95,0.96,5,1,238,208,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1042
40.68448,-73.92747,2019,4,70,0.75,2,1,406,10,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,52
40.74412,-74.00208,2007,2,35,0.36,3,1,11,82,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,409
40.70665,-73.94061,2008,4,50,0.51,3,1,235,158,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,788
40.72063,-73.95952,2010,2,29,0.31,1,1,318,117,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,586
40.67644,-73.98082,2017,2,23,0.23,2,2,280,122,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,608
40.80481,-73.94794,2015,2,142,1.44,2,2,140,193,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,964
40.72533,-73.99143,2010,2,70,0.73,4,1,256,31,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,154
40.68569,-73.93038,2008,2,38,0.54,3,2,107,26,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,132
40.72939,-73.98857,2014,2,403,4.1,1,3,35,124,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,619
40.79918,-73.96607,2018,1,3,0.03,2,1,117,231,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1155
40.72212,-73.94254,2022,5,8,0.21,2,1,0,203,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1015
40.67456,-73.95151,2005,20,70,0.73,4,1,0,101,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,507
40.6755,-73.95878,2014,2,115,1.18,1,1,0,89,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,445
